keydevid,year,announcedate,buyer_names,companyname,objectroletype,headline,deal_stage,is_spac,deal_value_musd,value_source,gvkey
1977011240.0,2026,2026-01-06,"A&R Investment Limited; Advent International, L.P.; FedEx Corporation; PPF Group a.s.","Advent International, L.P.",Buyer,"An Funds managed by Advent International, L.P., A&R Investment Limited, FedEx Corporation (NYSE:FDX) and PPF Group N.V. submitted indicative proposal to acquire InPost S.A. (ENXTAM:INPST) from PPF Group N.V., Advent Global Opportunities Management LLC, AI Prime & Cy S.C.A. and others for approximately €6.9 billion.",proposal,False,,none,
1931548137.0,2025,2025-02-14,"flyExclusive, Inc.",Aviation Business of Jet.AI Inc.,Target,"flyExclusive, Inc. (NYSEAM:FLYX) entered a definitive agreement to acquire the Aviation Business of Jet.AI Inc. (NasdaqCM:JTAI).",definitive_agreement,False,50.0,max-fallback,
1868573800.0,2024,2024-01-16,Aradel Energy Limited; First Exploration & Petroleum Development Company Limited; ND Western Limited; Petrolin Group; Waltersmith Refining & Petrochemical Company Limited,Waltersmith Refining & Petrochemical Company Limited,Buyer,"Renaissance, a consortium of Nd Western Limited, Aradel Energy Limited, First Exploration & Petroleum Development Company Limited, Waltersmith Refining & Petrochemical Company Limited and Petrolin Group reached an agreement to acquire The Shell Petroleum Development Company of Nigeria Limited from Shell plc (LSE:SHEL) for $2.4 billion.",other,False,2400.0,for-pattern,
711090528.0,2021,2021-04-12,Microsoft Corporation,,Transaction,"Microsoft Corporation (NasdaqGS:MSFT) entered into a definitive agreement to acquire Nuance Communications, Inc. (NasdaqGS:NUAN) from The Vanguard Group, Inc., FMR LLC, Coatue Management, L.L.C., Viking Global Investors LP, ClearBridge Investments, LLC and others for $16.5 billion.",definitive_agreement,False,16500.0,for-pattern,
1673786514.0,2021,2021-07-13,SES AI Corporation,Ivanhoe Capital Sponsor LLC,Seller,SES Holdings Pte. Ltd. entered into a definitive agreement to acquire Ivanhoe Capital Acquisition Corp. (NYSE:IVAN) from Ivanhoe Capital Sponsor LLC and others in a reverse merger transaction for $3.4 billion.,definitive_agreement,True,3400.0,for-pattern,
1773984435.0,2022,2022-03-03,Perfect Corp.,WFM Asia (HK) Limited,Seller,Perfect Corp. executed a letter of intent to acquire Provident Acquisition Corp. (NasdaqCM:PAQC) from Provident Acquisition Holdings Ltd. and others for approximately $990 million in a reverse merger transaction.,definitive_agreement,True,990.0,for-pattern,
1869024947.0,2024,2024-01-19,DeFi Development Corporation UK PLC; Mustang Energy PLC,Crowdform Ltd.,Seller,"Mustang Energy PLC (LSE:MUST) entered into a non-binding heads of terms to acquire Cykel AI PLC (OFEX:CYK) from Alpha Capital Group Ltd, California Two Pizza Ventures Inc., Crowdform Ltd., Fidelio Partners Pte. Ltd., First Sentinel Corporate Finance Limited and others.",proposal,False,,none,
599284151.0,2019,2019-01-22,AI Zenith (Netherlands) BV,Visa International Service Association,Seller,"AI Zenith (Netherlands) BV signed a definitive agreement to acquire 51% stake in Prisma Medios de Pago S.A., from a group of shareholders.",definitive_agreement,False,39.6,for-pattern,
1960488299.0,2025,2025-09-12,MBody AI Corp.,,Transaction,MBody AI entered into a definitive Agreement to acquire Check-Cap Ltd. (NasdaqCM:CHEK) in a reverse merger transaction.,definitive_agreement,False,,none,
1854782962.0,2023,2023-09-05,ScanTech AI Systems Inc.,Mars Acquisition Corp.,Target,"ScanTech Identification Beam Systems, LLC signed a Letter of Intent to acquire Mars Acquisition Corp. (NasdaqGM:MARX) from Mars Capital Holding Corporation and others in a reverse merger transaction for $110 million.",letter_of_intent,True,110.0,for-pattern,041295
636497766.0,2019,2019-09-10,DimensionalMechanics Inc.,,Transaction,DimensionalMechanics Inc. entered into a binding letter of intent to acquire Lincoln Ventures Ltd. (TSXV:LX.H) in a reverse merger transaction.,definitive_agreement,False,10.0,max-fallback,
1913216067.0,2024,2024-12-15,Jeen AI Technologies Ltd,Jeen AI Ltd.,Target,Micronet Ltd (TASE:MCRNT) entered into an agreement to acquire Jeen AI Ltd. for ILS 23.2 million.,agreement,False,,none,
1864899427.0,2023,2023-11-09,"Pathos AI, Inc.",BVF Partners L.P.,Seller,"Pathos AI, Inc. entered into a definitive merger agreement to acquire Rain Oncology Inc. (NasdaqGS:RAIN) from Boxer Capital LLC, BVF Partners L.P., Avanish Vellanki and others for $42.2 million.",definitive_agreement,False,42.2,for-pattern,
1857115902.0,2023,2023-09-27,BrandPilot AI Inc.,,Transaction,Universal PropTech Inc. (TSXV:UPI.H) entered into a binding letter of intent to acquire 100% stake in BrandPilot AI Inc..,definitive_agreement,False,,none,
1832770637.0,2023,2023-04-11,"Spectral AI, Inc.",Rosecliff Acquisition Corp I,Target,"Spectral MD Holdings, Ltd. (AIM:SMD) entered into an agreement to acquire Rosecliff Acquisition Corp I (NasdaqCM:RCLF) from Rosecliff Acquisition Sponsor I LLC and others for $170 million in a reverse merger transaction.",definitive_agreement,True,170.0,for-pattern,037921
1829179853.0,2023,2023-03-10,"Airship AI Holdings, Inc.",BYTE Acquisition Corp.,Target,"Airship AI Holdings, Inc. entered into a definitive agreement to acquire BYTE Acquisition Corp. (NasdaqCM:BYTS) from Byte Holdings LP and others for approximately $280 million in a reverse merger transaction.",definitive_agreement,True,280.0,for-pattern,038360
569403147.0,2018,2018-06-01,New World Solutions Inc.,New World Solutions Inc.,Buyer,Graph Blockchain Limited entered into a non-binding letter of intent to acquire REG Technologies Inc. (OTCPK:REGR.F) in a reverse merger transaction.,definitive_agreement,False,,none,034408
636398889.0,2019,2019-09-09,AI Global Investments (Cyprus) PCC Limited,AI Global Investments (Cyprus) PCC Limited,Buyer,"AI Global Investments (Cyprus) PCC Limited signed an agreement to acquire 38.27% stake in DFM Foods Limited (BSE:519588) from The Delhi Flour Mills Co. Ltd., Mohit Jain, Rohan Jain, Rashad Jain and Surekha Jain for INR 4.8 billion.",proposal,False,,none,
1673266092.0,2021,2021-07-07,"Heliogen, Inc.","Heliogen, Inc.",Buyer,"Heliogen, Inc. entered into a non-binding letter of intent to acquire Athena Technology Acquisition Corp. (NYSE:ATHN) from Athena Technology Sponsor LLC and others for $1.8 billion in a reverse merger transaction.",definitive_agreement,True,1800.0,for-pattern,
1870966183.0,2024,2024-02-05,Light AI Inc.,Mojave Brands Inc.,Target,Light AI Inc. entered into a binding letter of intent to acquire Mojave Brands Inc. (CNSX : MOJO) for CAD 14.9 million in a reverse merger transaction.,definitive_agreement,False,,none,032436
1957729929.0,2025,2025-08-21,"Abu Dhabi Investment Authority; Thoma Bravo, L.P.",EdgePoint Investment Group Inc.,Seller,"A group of funds managed by Thoma Bravo, L.P. and Abu Dhabi Investment Authority entered into an agreement to acquire Dayforce Inc. (NYSE:DAY) for approximately $11.5 billion in a going private transaction.",agreement,False,11500.0,for-pattern,
606745963.0,2019,2019-03-18,"América Móvil, S.A.B. de C.V.; Claro S.A.",,Transaction,"Claro S.A. entered into a purchase agreement to acquire Nextel Holdings S.à r.l. from NII Holdings, Inc. (NasdaqGS:NIHD) for approximately $970 million.",other,False,970.0,for-pattern,
1827716119.0,2023,2023-02-27,Jet.AI Inc.,"Rivernorth SPAC Arbitrage Fund, LP",Seller,Jet Token Inc. entered into a definitive business combination agreement to acquire Oxbridge Acquisition Corp. (NasdaqCM:OXAC) from a group of shareholders for approximately $110 million in a reverse merger transaction.,letter_of_intent,True,110.0,for-pattern,
1980670582.0,2025,2025-11-03,Datavault AI Inc.,Datavault AI Inc.,Buyer,"Datavault AI Inc. (NasdaqCM:DVLT) entered into Stock Purchase Agreement to acquire API Media Innovations, Inc. from David Reese and Frank Tomaino for $14 million.",other,False,14.0,for-pattern,033725
633649995.0,2019,2019-08-19,"Oncotelic Therapeutics, Inc.","Oncotelic Therapeutics, Inc.",Buyer,"Mateon Therapeutics, Inc. (OTCPK:MATN) entered into a definitive agreement to acquire PointR Data Inc. for $30 million.",definitive_agreement,False,30.0,for-pattern,035138
1823691549.0,2023,2023-01-27,Generative AI Solutions Corp.,,Transaction,Metachain Holdings Inc. entered into a definitive business combination agreement to acquire Generative AI Solutions Corp. for CAD 15.4 million in a reverse merger acquisition.,proposal,False,,none,
1973474559.0,2025,2025-12-08,International Business Machines Corporation,Battery Ventures L.P.,Seller,"International Business Machines Corporation (NYSE:IBM) entered into a definitive agreement to acquire Confluent, Inc. (NasdaqGS:CFLT) for $11.5 billion.",definitive_agreement,False,11500.0,for-pattern,
1982592883.0,2026,2026-02-04,SiTime Corporation,Timing Business of Renesas Electronics America Inc.,Target,SiTime Corporation (NasdaqGM:SITM) signed a definitive agreement to acquire Timing Business of Renesas Electronics America Inc. for $3 billion.,definitive_agreement,False,3000.0,for-pattern,
1893522569.0,2024,2024-06-24,IntelliAM AI Plc,53 Degrees North Engineering Limited,Target,"IntelliAM AI Plc (OFEX:INT) signed heads of terms to acquire 53 Degrees North Engineering Limited from Thomas Clayton, Keith Smith, Simon Palmer and Christopher Wragg for £5.187 million.",other,False,,none,
683542435.0,2020,2020-08-13,Edge Total Intelligence Inc.,,Transaction,ETI Technologies Inc. and Edge AI Ltd. entered into a letter of intent to acquire Aphelion Capital Corp. (TSXV:APHE.P) in a reverse merger transaction for $70.1 million.,definitive_agreement,False,70.1,for-pattern,
1998217027.0,2026,2026-04-30,MARA USA Corporation,MARA USA Corporation,Buyer,MARA USA Corporation entered into an equity purchase agreement to acquire Long Ridge Energy & Power LLC from Ohio River Partners Holdco LLC and Ohio River Partners Finance LLC in a transaction valued at $1.5 billion.,other,False,1512.0,max-fallback,
1679348481.0,2021,2021-08-25,AI Beauty Holdings Ltd.,"BareMinerals, BUXOM, and Laura Mercier brands of Shiseido Americas/ Bare Escentuals K.K.",Target,"AI Beauty Holdings Ltd. signed a definitive agreement to acquire bareMinerals, BUXOM and Laura Mercier cosmetics brands and Bare Escentuals K.K. from Shiseido Americas Corporation for $700 million.",definitive_agreement,False,700.0,for-pattern,
1891574833.0,2024,2024-08-15,Leading Group Limited,,Transaction,"Leading Group Limited entered into a Business Combination Agreement to acquire Healthcare AI Acquisition Corp. (NasdaqCM:HAIA) from Healthcare AI Acquisition, LLC and Atticus Ale, LLC and others for approximately $490 million in a reverse merger transaction.",letter_of_intent,True,490.0,for-pattern,
572877790.0,2018,2018-07-03,Ronin Blockchain Corp.,,Transaction,Ronin Blockchain Corp. entered into a binding letter of agreement to acquire Cluny Capital Corp. (TSXV:CLN.H) in a reverse merger transaction.,definitive_agreement,False,,none,
709866009.0,2021,2021-03-31,PayGroup Limited,PayGroup Limited,Buyer,PayGroup Limited (ASX:PYG) entered into an agreement to acquire Integrated Workforce Solutions for AUD 17.3 million.,agreement,False,12.75,max-fallback,326211
1961487039.0,2025,2025-09-22,"Thoma Bravo, L.P.","RGM Capital, LLC",Seller,"Thoma Bravo, L.P. entered into a definitive agreement to acquire PROS Holdings, Inc. (NYSE:PRO) from a group of shareholders for $1.3 billion.",definitive_agreement,False,1300.0,for-pattern,
1879475322.0,2024,2024-04-29,The French Republic,,Transaction,France agreed to acquire Mission-Critical Systems and Cyber security Products activities of Atos SE’s BDS business from Atos SE (ENXTPA:ATO) for an enterprise value of €700 million.,proposal,False,,none,
1996293992.0,2026,2026-04-21,"SoundHound AI, Inc.",,Transaction,"SoundHound AI, Inc. (NasdaqGM:SOUN) executed letter of intent to acquire LivePerson, Inc. (NasdaqGS:LPSN) from a group of shareholders for $45.2 million.",definitive_agreement,False,45.2,for-pattern,
1969811403.0,2025,2025-09-20,ADC Services International Limited,,Transaction,"ADC Services International Limited entered into a conditional share purchase agreement to acquire Aegirbio (UK) Limited, Aegirbio US Inc, Abreos Biosciences, Inc., Aegirbio Sweden AB, Viraspec AB and Magnasense Technologies Oy from Magnasense AB (OM:MAGNA) for €1.",other,False,,none,
1944076316.0,2025,2025-05-19,Sanmina Corporation,"ZT Group Intl, Inc.",Seller,"Sanmina Corporation (NasdaqGS:SANM) entered into a definitive agreement to acquire Data Center Infrastructure Manufacturing Business of ZT Group Intl, Inc. for $3 billion.",definitive_agreement,False,3000.0,for-pattern,
1956827540.0,2025,2025-08-14,"Merlin, Inc.",First Trust Capital Management L.P.,Seller,"Merlin Labs, Inc. entered into a definitive business combination agreement to acquire Bleichroeder Acquisition Corp. I (NasdaqGM:BACQ) from group of shareholders in a reverse merger transaction for $800 million.",letter_of_intent,True,800.0,for-pattern,
1955090667.0,2025,2025-07-29,Bridgepoint Group plc,Bridgepoint Group plc,Buyer,Bridgepoint Group plc (LSE:BPT) agreed to acquire an unknown majority stake in Hanseatic Broking Center GmbH from the two founders of Hanseatic Broking Center GmbH and Preservation Capital Partners Limited.,agreement,False,,none,349716
614779470.0,2019,2019-05-23,Blockchain Worldwide plc; SEEEN plc,Blockchain Worldwide plc,Buyer,Entertainment AI Plc agreed to acquire Blockchain Worldwide plc (LSE:BLOC) in a reverse merger transaction.,agreement,False,,none,325524
1789101312.0,2022,2022-07-01,Nielsen Consumer LLC,Nürnberg Institut für Marktentscheidungen e.V.,Seller,"Nielsen Consumer LLC entered into a definitive agreement to acquire GfK SE from GfK-Nürnberg e.V., KKR & Co. Inc. (NYSE:KKR) and others.",definitive_agreement,False,,none,
1888318554.0,2024,2024-07-18,GE HealthCare Technologies Inc.,Surgical Science UK Holdings Limited,Seller,GE HealthCare Technologies Inc. (NasdaqGS:GEHC) agreed to acquire Clinical Artificial Intelligence Business From Intelligent Ultrasound from Intelligent Ultrasound Group plc (AIM:IUG) for an enterprise value of £40.5 million.,agreement,False,,none,318317
1803481110.0,2022,2022-10-05,P2Earn Inc.,Jellyworks Inc.,Target,Aquarius AI Inc. (CNSX:AQUA) entered into a definitive agreement to acquire 70% stake in Jellyworks Inc. for CAD 3.6 million.,definitive_agreement,False,,none,
1974574036.0,2025,2025-12-17,"Yarrow Bioscience, Inc.",Perceptive Advisors LLC,Seller,"Yarrow Bioscience, Inc. entered into an Agreement and Plan of Merger and Reorganization to acquire VYNE Therapeutics Inc. (NasdaqCM:VYNE) from AI Biotechnology LLC, Nantahala Capital Management LLC, and other shareholders for approximately $100 million in a reverse merger transaction.",agreement,False,100.0,for-pattern,
1788630020.0,2022,2022-06-20,VVT Med Inc.,VVT Med Inc.,Buyer,V.V.T. Med Ltd. (VVT) entered into a Letter of Intent to acquire GoPublic.AI Acquisition 2 Corp. (GPAI2) in a reverse merger transaction.,definitive_agreement,False,,none,
1954838977.0,2025,2025-07-28,,,Transaction,"SES AI International I Pte. Ltd entered into a Share Transfer and Share Purchase Agreement to acquire Shenzhen UZ Energy Co., Ltd from Shenzhen Yuze Venture Capital Co., Ltd, Shenzhen Yupeng Venture Consulting Partnership L.P. and Shenzhen Yuyuan Consulting Partnership, Xiaofei Xu, Zhen Bao and others for approximately CNY 110 million.",other,False,,none,
1951031984.0,2025,2025-06-27,RTL Deutschland GmbH,RTL Deutschland GmbH,Buyer,Rtl Deutschland GmbH signed a definitive agreement to acquire Sky Deutschland GmbH from Sky Limited for approximately €530 million.,definitive_agreement,False,,none,
700660067.0,2021,2021-01-08,Journey Personal Care Corp.,Domtar AI Inc.,Seller,"Journey Personal Care Corp. entered into an agreement to acquire Attends Healthcare Products, Inc., Domtar Personal Care Absorbent Hygiene Inc., HDIS Inc. and Zither L Investments Sàrl from Domtar AI Inc. and Domtar Luxembourg Investments Sarl for $920 million.",agreement,False,920.0,for-pattern,
1992640549.0,2026,2026-03-30,Shunfa Hengneng Corporation,"Zhejiang Puxing Jingxing Natural Gas Power Co., Ltd.",Target,"Shunfa Hengneng Corporation (SZSE:000631) agreed to acquire Zhejiang Puxing Jingxing Natural Gas Power Co., Ltd. from Puxing Energy Limited (SEHK:90) for approximately CNY 150 million.",agreement,False,,none,
1886216290.0,2024,2024-07-01,"American Metals LLC; American Metals, LLC","Glazer Capital, LLC",Seller,"American Metals LLC entered into a definitive agreement to acquire AI Transportation Acquisition Corp (NasdaqCM:AITR) from AI Transportation Corp Yun Wu, Wong Ping Kuen, Ka Cheong Leung, Dick Wai Mak and others for approximately $170 million in a reverse merger transaction.",definitive_agreement,True,170.0,for-pattern,
1773460767.0,2022,2022-03-04,Cleantech Power Corp.,,Transaction,Alkaline Fuel Cell Power Corp. (NEOE:PWWR) entered into definitive agreement to acquire Combined Heat and Power Generation Business of AI Renewable 2020-I Limited Partnership,definitive_agreement,False,,none,
214920804.0,2012,2012-07-13,"American Realty Capital V, LLC","AI-Neenah, L.L.C.",Seller,"American Realty Capital V, LLC entered into a purchase and sale agreement to acquire a medical office building in Neenah, Wisconsin from PMZ-Neenah, L.L.C., JPG-Neenah, L.L.C. and AI-Neenah, L.L.C.",other,False,63.0,max-fallback,
214920338.0,2012,2012-07-13,"American Realty Capital V, LLC","Medical Office Building in Hartford, Wisconsin",Target,"American Realty Capital V, LLC entered into a purchase and sale agreement to acquire a medical office building in Hartford, Wisconsin from PMZ-Hartford, L.L.C., JPG-Hartford, L.L.C. and AI-Hartford, L.L.C.",other,False,63.0,max-fallback,
1928978397.0,2025,2025-01-28,Rocket Doctor AI Inc.,Rocket Doctor AI Inc.,Buyer,Treatment.com AI Inc. (CNSX:TRUE) has entered into a binding letter of intent to acquire Alea Health Holdings Limited.,definitive_agreement,False,0.415,for-pattern,038839
612835013.0,2019,2019-05-08,Attraqt Group Limited,Attraqt Group Limited,Buyer,"ATTRAQT Group plc (AIM:ATQT) entered into an agreement to acquire Early Birds SAS from Laetitia Comes-Bancaud, Nicolas Mathon, EB Growth and others for £13.8 million.",agreement,False,,none,318216
214835350.0,2012,2012-07-13,"American Realty Capital V, LLC","AI-Two Rivers, L.L.C.",Seller,"American Realty Capital V, LLC entered into a purchase and sale agreement to acquire two rivers medical office, Wisconsin from PMZ-Two Rivers, L.L.C., JPG-Two Rivers, L.L.C. and AI-Two Rivers, L.L.C.",other,False,63.0,max-fallback,
647841954.0,2019,2019-12-12,Digital Cavalier Technology Services Inc.,,Transaction,Digital Cavalier Technology Services Inc. entered into a share exchange agreement to acquire Dimension Five Technologies Inc. (CNSX:DFT) in a reverse merger transaction.,other,False,,none,
1854782815.0,2023,2023-09-05,ScanTech AI Systems Inc.,Mars Acquisition Corp.,Target,"ScanTech Identification Beam Systems, LLC entered into a definitive business combination agreement to acquire Mars Acquisition Corp. (NasdaqGM:MARX) from shareholders in a reverse merger transaction.",other,True,197.5,max-fallback,041295
1854782823.0,2023,2023-09-05,ScanTech AI Systems Inc.,Mars Acquisition Corp.,Target,"ScanTech Identification Beam Systems, LLC entered into a definitive business combination agreement to acquire Mars Acquisition Corp. (NasdaqGM:MARX) from shareholders in a reverse merger transaction.",other,True,197.5,max-fallback,041295
1760669810.0,2021,2021-12-06,BenevolentAI S.A.,Odyssey Acquisition S.A.,Target,BenevolentAI Limited entered into reverse merger transaction to acquire Odyssey Acquisition S.A. (ENXTAM:ODYSY),other,False,,none,349457
1947609483.0,2025,2025-06-10,Subgen AI AB (publ),Magnasense AB,Target,Subgen AI Limited signed a letter of intent to acquire Magnasense AB (OM:MAGNA) in a reverse merger transaction for €200 million.,letter_of_intent,False,,none,338625
2008312620.0,2026,2026-06-30,AVEVA Group Limited; Schneider Electric S.E.,TCMI Inc.,Seller,"AVEVA Group Limited entered into a definitive agreement to acquire Cognite AS from Aker ASA (OB:AKER), Accel Management Co, Inc., Technology Crossover Ventures XI, a fund managed by TCMI Inc. and others for an enterprise value of $3.1 billion.",definitive_agreement,False,3100.0,max-fallback,
6043890.0,2008,2008-11-23,,"KSF Beverage Holding Co., Ltd.",Target,"Ting Hsin signed an agreement to acquire a 9.99% stake in Tingyi-Asahi-Itochu Beverages Holding Co. Ltd. from AI Beverage Holding Co., Ltd. for $280 million.",other,False,280.0,for-pattern,
1686787025.0,2021,2021-11-01,Xigem Technologies Corporation,Xigem Technologies Corporation,Buyer,Xigem Technologies Corporation (CNSX:XIGM) entered into a binding letter of intent to acquire substantially all assets from Cylix Data Group for CAD 32.4 million.,definitive_agreement,False,,none,
1869519577.0,2024,2024-01-25,Healwell AI Inc.,,Transaction,Healwell AI Inc. (TSX:AIDX) entered into an agreement to acquire Intrahealth Systems Limited from WELL Health Technologies Corp. (TSX:WELL) for approximately CAD24.2 million.,agreement,False,,none,
1914202753.0,2024,2024-12-26,Datavault AI Inc.,"CompuSystems, Inc.",Target,"Datavault AI Inc. (NasdaqCM : DVLT) signed a definitive agreement to acquire CompuSystems, Inc from family for $31.2 million.",definitive_agreement,False,31.2,for-pattern,
1974420207.0,2025,2025-12-16,"Azio AI, Inc.",,Transaction,"Envirotech Vehicles, Inc. (NasdaqCM:EVTV) entered into letter of intent to acquire AZIO AI Corporation from AZIO Corporation with an enterprise value of approximately $480 million.",definitive_agreement,False,750.0,max-fallback,
1875681733.0,2024,2024-03-25,Nobul Real Estate Inc.,Check-Cap Ltd.,Target,Nobul AI Corp entered into a definitive Business Combination Agreement to acquire Check-Cap Ltd. (NasdaqCM:CHEK).,other,False,,none,022676
1905948872.0,2024,2024-11-25,The French Republic,The French Republic,Buyer,"France signed letter of intent to acquire Atos ,Advanced Computing activities of its BDS division from Atos SE (ENXTPA:ATO) for an enterprise value of approximately €630 million.",letter_of_intent,False,,none,
275403803.0,2014,2014-10-27,3i Group plc,Douglas Holding AG,Seller,"3i Eurofund V, managed by 3i Group plc (LSE:III) and management of CHRIST Juweliere und Uhrmacher seit 1863 GmbH agreed to acquire CHRIST Juweliere und Uhrmacher seit 1863 GmbH from Douglas Holding AG and Kreke family.",agreement,False,,none,100749
